advertised_date,number_of_bedrooms,rent,floor_area,level,suburb,furnished,tenancy_preference,number_of_bathrooms,point_of_contact,secondary_address,building_number,street_name,street_suffix,prefix,first_name,last_name,gender,phone_number,email
2022-05-27,1,564.0,600,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,1/,429,peter ramp,vale,mrs.,kathy,garcia,f,(08).9838.4965,alvaradolisa@example.net
2022-06-19,2,563.0,1200,1 out of 1,canberra,unfurnished,bachelors/family,1,contact owner,apt. 763,9,murphy ramp,alley,dr.,tammy,monroe,f,0457.764.863,timothycampbell@example.com
2022-06-19,2,563.0,1200,2 out of 2,canberra,semi-furnished,bachelors,2,contact owner,3/,1,lewis highway,thoroughfare,nan,shannon,smith,u,(07) 5985 5787,shawjessica@example.org
2022-06-21,3,594.0,1200,ground out of 2,canberra,unfurnished,bachelors/family,3,contact agent,unit 52,26,john approach,hill,mrs.,jessica,montoya,f,+61 2 8659 2563,boydchristy@example.net
2022-06-04,2,568.0,700,7 out of 8,canberra,unfurnished,bachelors/family,2,contact owner,506/,381,nash place,meander,nan,mx.,isaac,u,63818234,qbailey@example.com
2022-05-14,1,560.0,250,ground out of 4,canberra,semi-furnished,bachelors/family,1,contact owner,515/,8,daniel basin,mew,nan,patricia,everett,u,0429-447-212,wgarcia@example.com
2022-06-26,2,565.0,1100,ground out of 3,canberra,unfurnished,bachelors,1,contact owner,suite 580,104,sanders courtyard,underpass,nan,edward,roy,u,07-1215-5705,heather48@example.com
2022-05-05,2,565.0,600,ground out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,unit 80,159,albert concourse,hill,mr.,shaun,clark,m,(02) 6597 4869,paulstone@example.org
2022-05-18,2,564.0,800,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,38/,40,price driveway,row,miss,jennifer,carrillo,f,(08) 4851 6598,brookerivera@example.org
2022-06-07,1,565.0,680,1 out of 3,canberra,unfurnished,bachelors/family,1,contact owner,apt. 843,0,melissa elbow,ridgeway,mrs.,wendy,harper,f,+61330411767,hking@example.net
2022-06-07,1,565.0,680,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,flat 03,5,alex turn,gates,mrs.,makayla,wagner,f,(08).1101.0200,patelmargaret@example.com
2022-06-26,2,576.0,850,1 out of 4,canberra,semi-furnished,bachelors,1,contact agent,level 0,9,giles extension,foreshore,mrs.,erika,greene,f,+61334817317,jpadilla@example.com
2022-06-26,2,576.0,850,1 out of 2,canberra,semi-furnished,bachelors,1,contact agent,suite 950,10,bauer park,retreat,mrs.,andrea,giles,f,0437-470-525,alexandrarodriguez@example.org
2022-05-30,2,564.0,700,ground out of 2,canberra,unfurnished,bachelors,1,contact owner,826/,36,nancy driveway,highway,dr.,steven,michael,m,7129 0872,alexandria72@example.net
2022-05-22,3,606.0,1500,ground out of 2,canberra,unfurnished,bachelors/family,2,contact owner,suite 464,54,cruz byway,tarn,nan,ashley,garcia,u,+61884635030,yalvarado@example.org
2022-06-08,2,562.0,500,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,80/,5,mary park,roadway,dr.,kiara,hart,f,(02) 7160 0247,umathis@example.com
2022-05-03,2,564.0,700,ground out of 2,canberra,unfurnished,bachelors,1,contact owner,88/,462,wright landing,highway,mr.,gregory,cobb,m,+61.463.669.254,baileyhorton@example.net
2022-05-12,1,565.0,500,1 out of 2,canberra,unfurnished,bachelors/family,1,contact owner,flat 98,59,benjamin lees,ridgeway,mrs.,connie,campbell,f,(02)06058775,jeffrey68@example.org
2022-06-01,3,574.0,1800,ground out of 2,canberra,semi-furnished,bachelors/family,2,contact owner,level 8,323,carolyn route,corner,mrs.,hannah,nichols,f,0680 9610,ghogan@example.org
2022-05-23,1,566.0,500,1 out of 3,canberra,semi-furnished,bachelors/family,1,contact owner,flat 05,6,fletcher towers,mew,mr.,jason,edwards,m,(03)18158081,curtisquinn@example.com
2022-05-23,2,574.0,480,ground out of 3,canberra,furnished,bachelors/family,2,contact owner,5/,137,hill viaduct,ridgeway,mrs.,jessica,vasquez,f,8267-9746,hillamanda@example.com
2022-06-22,2,564.0,800,1 out of 2,canberra,furnished,bachelors/family,1,contact owner,236/,85,owens alley,centre,mr.,travis,summers,m,08 8006 2182,sarah51@example.net
2022-05-27,1,568.0,435,2 out of 3,canberra,unfurnished,bachelors/family,1,contact owner,level 4,0,caldwell strip,circle,mr.,michael,owens,m,(03)15864977,mcknightsamuel@example.org
2022-05-07,2,564.0,700,ground out of 2,canberra,semi-furnished,bachelors/family,2,contact agent,7/,3,jamie cross,reach,nan,ashlee,davis,u,+61-7-0533-0449,johnsonmelinda@example.com
2022-06-25,2,583.0,800,4 out of 4,canberra,furnished,bachelors/family,1,contact agent,7/,5,neal quadrangle,plaza,mr.,joshua,levy,m,+61784062146,amanda36@example.org
2022-05-31,2,566.0,550,2 out of 3,canberra,semi-furnished,bachelors/family,1,contact agent,unit 30,4,aaron break,steps,mr.,charles,miller,m,+61-8-6558-0344,caleb55@example.org
2022-06-03,2,578.0,800,ground out of 4,canberra,unfurnished,bachelors,2,contact agent,274/,10,william walk,dip,nan,matthew,drake,u,0453 296 740,ericzimmerman@example.org
2022-05-15,1,567.0,600,2 out of 4,canberra,furnished,bachelors/family,1,contact owner,level 9,71,leslie rue,walkway,mr.,trevor,smith,m,(07).2275.2778,mallorybeasley@example.com
2022-06-09,1,563.0,500,ground out of 1,canberra,unfurnished,bachelors/family,1,contact owner,apt. 281,4,ferguson walkway,pathway,mrs.,amanda,singh,f,+61 457 290 527,briangiles@example.org
2022-04-28,2,581.0,1000,1 out of 2,canberra,furnished,bachelors/family,2,contact owner,unit 09,78,ashley boulevard,river,mrs.,shelby,smith,f,(07).6344.5155,leslie51@example.net
2022-05-23,1,562.0,300,1 out of 2,canberra,unfurnished,bachelors/family,1,contact owner,unit 58,7,stacey laneway,lane,nan,lisa,smith,u,(08)41027080,millscarrie@example.net
2022-06-23,2,568.0,500,3 out of 4,canberra,semi-furnished,bachelors/family,1,contact owner,level 3,183,courtney garden,villas,nan,laura,barnett,u,(03).7189.6085,jenniferphillips@example.org
2022-06-13,2,574.0,900,1 out of 2,canberra,semi-furnished,bachelors/family,2,contact agent,623/,7,cruz circuit,roadway,miss,jessica,anderson,f,5881.5008,matthew62@example.net
2022-06-13,3,583.0,1300,ground out of 2,canberra,unfurnished,bachelors/family,3,contact agent,9/,20,amy deviation,edge,mrs.,maria,ross,f,03-5439-3024,rogersjudy@example.com
2022-05-14,3,582.0,1450,ground out of 1,canberra,unfurnished,family,2,contact owner,suite 385,1,bonnie artery,crest,dr.,ethan,atkinson,m,02.8607.0561,vjones@example.org
2022-06-06,1,563.0,600,8 out of 5,canberra,unfurnished,bachelors/family,1,contact owner,apt. 038,5,carroll heights,piazza,mr.,mitchell,sandoval,m,0760078718,rodriguezjohn@example.org
2022-05-15,3,565.0,750,ground out of 2,canberra,unfurnished,family,1,contact owner,542/,81,david common,gates,mrs.,benjamin,dawson,f,8797 0630,herreratimothy@example.org
2022-05-04,2,565.0,1000,ground out of 1,canberra,unfurnished,bachelors/family,1,contact owner,level 8,41,fisher lookout,reach,nan,cassandra,davis,u,+61.446.739.193,anthonysamantha@example.com
2022-04-25,1,563.0,220,ground out of 2,canberra,furnished,bachelors/family,1,contact owner,suite 582,8,stephanie loop,corso,mr.,gregory,johnson,m,0489-635-980,cassiemcmillan@example.com
2022-05-21,1,565.0,300,1 out of 3,canberra,semi-furnished,bachelors,1,contact agent,810/,9,shawn gardens,tollway,nan,christy,hudson,u,9637-1692,annakaiser@example.org
2022-04-28,3,574.0,1600,1 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,330/,1,sara street,riviera,nan,eric,young,u,4972 2517,shepardgregory@example.com
2022-05-15,2,573.0,1000,1 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,3/,202,brooke plateau,grange,mrs.,alyssa,henry,f,+61389078205,hannahperez@example.net
2022-05-30,1,562.0,20,2 out of 3,canberra,unfurnished,bachelors/family,1,contact owner,suite 143,93,montoya underpass,park,nan,breanna,davis,u,+61 439 668 379,karen82@example.com
2022-06-10,2,564.0,400,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,57/,4,anna motorway,reach,mr.,dr.,julian,m,+61-7-0118-1310,heatherprice@example.org
2022-06-23,1,560.0,200,2 out of 2,canberra,furnished,bachelors/family,1,contact owner,02/,22,mark part,close,mrs.,holly,crosby,f,0847562112,jamesjones@example.org
2022-06-09,3,573.0,840,1 out of 4,canberra,unfurnished,bachelors,2,contact owner,apt. 095,73,scott fairway,crossing,nan,karen,ford,u,+61.2.7589.5215,smithemily@example.org
2022-06-19,1,563.0,300,1 out of 1,canberra,unfurnished,bachelors/family,1,contact agent,suite 884,269,mathews trail,centre,nan,melanie,valdez,u,(02)94926309,jasmine00@example.com
2022-05-14,2,565.0,800,1 out of 1,canberra,unfurnished,bachelors/family,2,contact owner,level 1,2,hunt grange,sound,mrs.,laura,baker,f,5408 8099,brianbell@example.net
2022-05-10,2,568.0,740,ground out of 6,canberra,unfurnished,bachelors,1,contact owner,unit 22,490,smith right of way,promenade,dr.,shelby,hester,f,0381763499,annasmith@example.org
2022-04-25,2,578.0,1300,1 out of 1,canberra,unfurnished,bachelors/family,2,contact owner,apt. 806,71,hines villas,way,mrs.,dorothy,dennis,f,0337871491,xsantiago@example.com
2022-06-13,2,565.0,650,ground out of 1,canberra,semi-furnished,bachelors/family,1,contact owner,306/,6,alexandra meander,mew,nan,jerry,stanley,u,+61.439.625.965,melissa50@example.net
2022-05-06,2,565.0,490,1 out of 1,canberra,semi-furnished,bachelors/family,1,contact owner,unit 93,85,barnes rest,lane,mrs.,diana,johnson,f,5400.7560,perry35@example.net
2022-06-08,1,561.0,250,2 out of 2,canberra,furnished,bachelors/family,1,contact owner,7/,2,john amble,ramp,dr.,sean,hall,m,(02) 5711 6572,trevor73@example.net
2022-06-08,1,561.0,250,ground out of 1,canberra,furnished,bachelors/family,1,contact owner,apt. 027,4,knight rue,bridge,nan,brandy,anderson,u,0435-929-253,shawsandra@example.org
2022-06-24,2,576.0,750,1 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,795/,9,leach steps,junction,mrs.,heather,cain,f,1121-9428,kimberlysnyder@example.net
2022-06-17,2,573.0,751,3 out of 3,canberra,unfurnished,bachelors,1,contact owner,unit 89,77,miller towers,circuit,mrs.,laura,farley,f,+61 2 8838 0216,bowencharles@example.org
2022-06-26,2,567.0,900,ground out of 2,canberra,semi-furnished,bachelors,1,contact owner,level 9,40,torres cutting,meander,mr.,jason,richards,m,+61-404-410-266,jacobedwards@example.net
2022-06-23,2,562.0,400,1 out of 3,canberra,semi-furnished,bachelors/family,1,contact owner,6/,11,murray elbow,part,mrs.,sarah,dunn,f,0463.915.804,qmcintyre@example.com
2022-06-13,2,578.0,1000,ground out of 2,canberra,semi-furnished,bachelors/family,2,contact agent,level 8,562,koch top,pathway,nan,april,duran,u,+61779628096,thomastonya@example.com
2022-06-11,2,566.0,1000,ground out of 1,canberra,unfurnished,bachelors/family,1,contact owner,11/,33,brandon run,wade,nan,michael,leonard,u,2220-9916,qgomez@example.org
2022-05-26,3,574.0,1500,1 out of 1,canberra,semi-furnished,family,2,contact owner,4/,4,joseph interchange,dip,mr.,aaron,scott,m,+61.7.2693.2182,raynina@example.net
2022-04-25,2,571.0,750,1 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,apt. 398,301,victoria point,gap,ms.,pamela,gonzales,f,24726229,reginaldnash@example.com
2022-05-11,1,572.0,1200,2 out of 4,canberra,semi-furnished,bachelors/family,1,contact owner,unit 72,73,holmes circlet,reserve,dr.,debbie,wilson,f,0828121062,lwest@example.org
2022-05-06,2,565.0,700,ground out of 1,canberra,unfurnished,bachelors/family,1,contact owner,unit 98,62,thomas spur,circle,dr.,kerri,williams,f,+61 3 8085 3875,fhoffman@example.net
2022-05-10,2,565.0,700,4 out of 4,canberra,furnished,bachelors/family,1,contact owner,817/,526,robert way,brae,nan,lisa,robinson,u,7885 5468,shellybray@example.net
2022-05-21,2,565.0,1000,ground out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,889/,74,jack ridgeway,link,dr.,rasha,manne,m,+61.491.858.923,yduncan@example.net
2022-06-12,2,564.0,1200,1 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,apt. 589,4,kelly bridge,mount,mrs.,amy,walker,f,+61 2 7120 6011,conniebrown@example.com
2022-06-05,2,558.0,550,2 out of 3,canberra,furnished,bachelors/family,1,contact owner,apt. 695,5,charles lower,vista,mr.,rodney,berger,m,03 0513 3520,bjohnson@example.net
2022-06-25,2,565.0,800,ground out of 4,canberra,unfurnished,bachelors,1,contact owner,6/,6,pitts road,parklands,nan,roger,cook-henry,u,07 3389 6987,ericmurphy@example.net
2022-06-11,2,562.0,280,1 out of 3,canberra,unfurnished,bachelors,1,contact owner,flat 76,6,william circlet,heights,nan,joseph,gentry,u,(07) 4963 9304,zstone@example.com
2022-05-10,2,564.0,950,ground out of 2,canberra,unfurnished,bachelors/family,1,contact agent,unit 17,31,wood frontage,way,nan,cynthia,cohen,u,(07)-5119-2598,charleshenry@example.com
2022-05-13,1,560.0,250,1 out of 2,canberra,furnished,bachelors/family,1,contact owner,apt. 972,53,cole estate,boulevard,dr.,sarah,norris,f,0464-358-624,iowens@example.com
2022-05-10,2,562.0,1000,ground out of 2,canberra,unfurnished,bachelors,1,contact owner,apt. 944,580,shirley run,fairway,dr.,joshua,johnson,m,67611148,anthony85@example.net
2022-05-27,2,564.0,650,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,unit 62,97,sylvia corso,circlet,mr.,paul,holmes,m,9069-1094,molinanicholas@example.org
2022-06-08,2,568.0,700,1 out of 2,canberra,unfurnished,bachelors/family,2,contact owner,7/,7,kathy access,quad,mr.,david,huang,m,02 9046 7968,callen@example.net
2022-05-15,2,564.0,700,ground out of 3,canberra,unfurnished,bachelors,1,contact owner,apt. 392,97,amanda driveway,lane,mr.,austin,orr,m,+61-3-6036-1779,joshua09@example.net
2022-05-25,1,563.0,700,1 out of 2,canberra,unfurnished,bachelors/family,1,contact owner,426/,8,brown ring,reach,mr.,chirag,desai,m,13340516,cory98@example.com
2022-05-06,1,560.0,120,ground out of 3,canberra,unfurnished,bachelors/family,1,contact owner,apt. 218,4,harold colonnade,place,nan,brittany,nelson,u,+61.2.4755.2221,hkennedy@example.com
2022-06-01,2,567.0,800,1 out of 2,canberra,semi-furnished,bachelors/family,2,contact owner,flat 34,485,victor expressway,glen,dr.,vardaniya,das,f,+61826195241,derek68@example.com
2022-06-07,3,606.0,1220,2 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,unit 05,620,lee alley,drive,mrs.,tammy,thompson,f,08.0846.3650,lindsay57@example.net
2022-06-23,3,576.0,1100,ground out of 3,canberra,unfurnished,bachelors/family,1,contact owner,74/,98,kevin parkway,stairs,dr.,sandra,davis,f,08-5187-3186,brianna92@example.org
2022-06-12,3,565.0,700,ground out of 3,canberra,unfurnished,family,2,contact owner,unit 72,3,david common,ronde,nan,christian,allen,u,3353-7380,alanmontgomery@example.com
2022-05-06,1,562.0,190,ground out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,unit 17,55,sanchez brace,parade,mr.,james,white,m,+61.7.3971.0784,shawn63@example.net
2022-05-24,2,567.0,700,ground out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,suite 991,151,martinez elbow,quadrangle,mrs.,rebecca,manning,f,+61.414.059.583,sjohnson@example.org
2022-06-17,1,564.0,240,ground out of 4,canberra,unfurnished,bachelors,1,contact owner,146/,0,leach street,lookout,mr.,edward,mckinney,m,8765.5422,leahsantos@example.com
2022-05-26,1,567.0,950,1 out of 2,canberra,unfurnished,bachelors/family,2,contact owner,flat 89,9,king plateau,mount,nan,jeffrey,melendez,u,0459-390-745,sherry25@example.com
2022-06-08,2,565.0,800,ground out of 2,canberra,unfurnished,bachelors,1,contact owner,9/,230,joshua basin,upper,mr.,trevor,garcia,m,0801610229,robertsjessica@example.org
2022-05-30,3,569.0,800,2 out of 2,canberra,unfurnished,bachelors,2,contact owner,apt. 318,40,gallegos state highway,right of way,nan,james,parker,u,07 0451 2840,amanda25@example.com
2022-06-16,2,574.0,800,ground out of 2,canberra,furnished,bachelors/family,1,contact owner,98/,2,andrade esplanade,siding,nan,alana,mcdonald,u,6848 2977,cisnerosmichelle@example.com
2022-06-08,2,571.0,950,1 out of 1,canberra,unfurnished,bachelors,2,contact owner,unit 55,6,carol mews,broadway,dr.,alicia,gomez,f,4584.7080,broth@example.org
2022-04-25,2,569.0,550,2 out of 3,canberra,unfurnished,bachelors/family,1,contact owner,level 5,2,quinn colonnade,point,mr.,charles,patterson,m,(07).9009.2524,michael64@example.org
2022-06-04,2,571.0,1800,1 out of 1,canberra,unfurnished,bachelors,2,contact owner,372/,94,moore approach,brow,nan,adrienne,weeks,u,+61391862837,hillbeth@example.net
2022-05-11,2,565.0,1000,ground out of 2,canberra,furnished,bachelors/family,1,contact owner,flat 87,9,bowen cul-de-sac,circlet,mr.,todd,gonzalez,m,0441-354-125,oclayton@example.net
2022-05-27,2,578.0,600,ground out of 3,canberra,semi-furnished,bachelors/family,2,contact owner,level 9,3,thompson broadway,slope,mr.,jiya,atwal,m,+61 463 826 742,oliviagraham@example.com
2022-04-24,2,565.0,750,2 out of 4,canberra,semi-furnished,bachelors/family,2,contact owner,606/,1,lisa loop,dell,dr.,charlene,poole,f,+61 7 9851 7460,tjohnson@example.org
2022-05-10,2,564.0,685,2 out of 3,canberra,unfurnished,bachelors/family,1,contact agent,19/,7,green crossing,route,nan,anthony,chaney,u,02 8610 1180,john11@example.net
2022-05-24,1,564.0,44,ground out of 1,canberra,furnished,bachelors/family,1,contact owner,level 3,695,jeffery route,brae,nan,timothy,pena,u,2255.4876,theresa51@example.net
2022-05-05,2,567.0,500,ground out of 2,canberra,unfurnished,bachelors,1,contact owner,015/,22,summer park,promenade,mr.,dennis,morrow,m,5987-6235,zmyers@example.org
2022-05-05,2,571.0,1000,1 out of 3,canberra,unfurnished,bachelors/family,2,contact owner,3/,69,poole walk,plateau,miss,savannah,smith,f,8083-6982,jeffreysilva@example.net
2022-06-26,2,562.0,392,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,937/,4,matthew beach,edge,nan,kelly,white,u,0426.672.725,jle@example.org
2022-05-09,2,563.0,700,1 out of 2,canberra,unfurnished,bachelors/family,1,contact owner,112/,2,henry copse,colonnade,dr.,john,evans,m,+61 458 502 442,mjordan@example.com
2022-05-19,1,562.0,750,2 out of 4,canberra,unfurnished,bachelors/family,1,contact owner,17/,73,wilson turn,crossing,dr.,carla,owens,f,+61 2 5646 0113,vbrown@example.net
2022-06-07,3,574.0,1500,1 out of 2,canberra,unfurnished,family,2,contact owner,unit 84,56,wilson parade,formation,nan,eva,hegde,u,08-2272-2445,darleneking@example.net
2022-04-29,2,567.0,900,ground out of 1,canberra,unfurnished,bachelors/family,2,contact owner,level 7,3,scott dell,outlook,dr.,justin,kemp,m,0828594233,ogutierrez@example.org
2022-05-26,1,562.0,400,ground out of 3,canberra,unfurnished,bachelors/family,1,contact owner,unit 24,1,eric landing,gates,ms.,gwendolyn,ramos,f,+61794897686,justin21@example.com
2022-06-24,1,568.0,700,1 out of 2,canberra,unfurnished,bachelors,1,contact owner,apt. 050,70,kevin meander,estate,nan,barbara,rhodes,u,(07)47572610,shellysantiago@example.net
2022-05-14,1,562.0,500,ground out of 3,canberra,semi-furnished,bachelors/family,1,contact owner,6/,6,nicolas spur,crossing,nan,tayla,searle,u,+61 401 018 046,garyharrell@example.com
2022-05-20,2,562.0,450,2 out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,38/,5,andrew point,street,nan,jessica,martin,u,9227.5744,gonzalesryan@example.org
